aspell 0.60.8.1-2
base 3-2
base-devel 1-2
bluez 5.84-1
bluez-utils 5.84-1
btrfs-progs 6.17-1
cargo-update 18.0.0-1
chaotic-keyring 20250614-1
chaotic-mirrorlist 20240724-3
cli11 2.5.0-1
cliphist 1:0.7.0-1
cmake 4.1.2-1
dgop-bin 0.1.7-1
dgop-bin-debug 0.1.7-1
dms-shell-bin 0.1.15-2
dms-shell-bin-debug 0.1.15-2
efibootmgr 18-3
extra-cmake-modules 6.19.0-1
eza 0.23.4-1
firefox 144.0-1
fish 4.1.2-1
fisher 4.4.5-1
font-manager 0.9.4-2
fuzzel 1.13.1-1
gedit 48.2-1
ghostty 1.2.2-1
git 2.51.1-1
github-cli 2.82.0-1
google-breakpad v2024.02.16-2
greetd 0.10.3-1
grub 2:2.12.r418.g6b5c671d-1
gst-plugin-pipewire 1:1.4.9-1
gtksourceview4 4.8.4-2
gtksourceview5 5.18.0-1
hspell 1.4-5
htop 3.4.1-1
intel-ucode 20250812-1
inter-font 4.1-1
iwd 3.10-1
jemalloc 1:5.3.0-5
jq 1.8.1-1
libpulse 17.0+r88+geee0e8f22-1
libvoikko 4.3.3-1
linux 6.17.3.arch2-1
linux-firmware 20251011-1
ly 1.1.2-1
mako 1.10.0-1
mate-polkit 1.28.1-2
matugen-bin 2.4.1-1
matugen-bin-debug 2.4.1-1
nano 8.6-1
neofetch-git 7.1.0.r166.gccd5d9f5-1.1
network-manager-applet 1.36.0-1
networkmanager 1.54.1-1
ninja 1.12.1-2
niri 25.08-2
nuspell 5.1.6-2
paru 2.1.0-1
paru-debug 2.1.0-1
pipewire 1:1.4.9-1
pipewire-alsa 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
python-pywalfox 2.7.4-1
qt5-3d 5.15.17-2
qt5-base 5.15.17+kde+r123-2
qt5-charts 5.15.17-1
qt5-connectivity 5.15.17+kde+r2-1
qt5-declarative 5.15.17+kde+r21-1
qt5-doc 5.15.17-1
qt5-examples 5.15.17-1
qt5-graphicaleffects 5.15.17-1
qt5-imageformats 5.15.17+kde+r2-1
qt5-location 5.15.17+kde+r7-1
qt5-multimedia 5.15.17+kde+r2-1
qt5-networkauth 5.15.17-1
qt5-quick3d 5.15.17+kde+r1-2
qt5-quickcontrols 5.15.17-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qt5-remoteobjects 5.15.17-1
qt5-script 5.15.19-2
qt5-scxml 5.15.17-1
qt5-sensors 5.15.17-1
qt5-serialport 5.15.17-1
qt5-speech 5.15.17+kde+r1-1
qt5-svg 5.15.17+kde+r5-1
qt5-tools 5.15.17+kde+r3-2
qt5-translations 5.15.17-1
qt5-virtualkeyboard 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-webchannel 5.15.17+kde+r3-1
qt5-webengine 5.15.19-3
qt5-websockets 5.15.17+kde+r2-1
qt5-x11extras 5.15.17-1
qt5-xmlpatterns 5.15.17-1
qt6-3d 6.10.0-1
qt6-5compat 6.10.0-1
qt6-base 6.10.0-1
qt6-charts 6.10.0-1
qt6-connectivity 6.10.0-1
qt6-datavis3d 6.10.0-1
qt6-declarative 6.10.0-1
qt6-doc 6.10.0-1
qt6-examples 6.10.0-1
qt6-graphs 6.10.0-1
qt6-grpc 6.10.0-1
qt6-httpserver 6.10.0-1
qt6-imageformats 6.10.0-1
qt6-languageserver 6.10.0-1
qt6-location 6.10.0-1
qt6-lottie 6.10.0-1
qt6-multimedia 6.10.0-2
qt6-networkauth 6.10.0-1
qt6-positioning 6.10.0-1
qt6-quick3d 6.10.0-1
qt6-quick3dphysics 6.10.0-1
qt6-quickeffectmaker 6.10.0-1
qt6-quicktimeline 6.10.0-1
qt6-remoteobjects 6.10.0-1
qt6-scxml 6.10.0-1
qt6-sensors 6.10.0-1
qt6-serialbus 6.10.0-1
qt6-serialport 6.10.0-1
qt6-shadertools 6.10.0-1
qt6-speech 6.10.0-1
qt6-svg 6.10.0-1
qt6-tools 6.10.0-1
qt6-translations 6.10.0-1
qt6-virtualkeyboard 6.10.0-1
qt6-wayland 6.10.0-1
qt6-webchannel 6.10.0-1
qt6-webengine 6.10.0-1
qt6-websockets 6.10.0-1
qt6-webview 6.10.0-1
qt6ct-kde 0.11-2
quickshell 0.2.1-1
rustup 1.28.2-3
sassc 3.6.2-5
smartmontools 7.5-1
starship 1.23.0-1
swaybg 1.2.1-1
swayidle 1.8.0-2
swaylock 1.8.3-1
ttf-fira-code 6.2-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-material-icons-git 4.0.0.r142.gbb04090f-1
ttf-material-symbols-variable-git 4.0.0.r142.gbb04090f-1
vim 9.1.1841-1
vulkan-nouveau 1:25.2.4-2
vulkan-tools 1.4.328.1-1
waybar 0.14.0-2
wayland-protocols 1.45-1
wget 1.25.0-2
wireless_tools 30.pre9-4
wireplumber 0.5.12-1
wl-clipboard 1:2.2.1-3
woff2-material-symbols-variable-git 4.0.0.r142.gbb04090f-1
xdg-desktop-portal-gnome 49.0-1
xdg-utils 1.2.1-1
xf86-video-nouveau 1.0.18-1
xorg-server 21.1.18-2
xorg-xinit 1.4.4-1
xorg-xwayland 24.1.8-1
xwayland-satellite 0.7-1
